type_description_code,icon_file,scale,notes
H,helicopter.svg,1,any Helicopter (fallback, 1 char)
G,gyrocopter.svg,1,any Gyrocopter (fallback, 1 char)
L1P,cessna.svg,1,
A1P,cessna.svg,1,
L1T,single_turbo.svg,1,
L1J,hi_perf.svg,0.92,
L2P,twin_small.svg,1,
A2P,twin_large.svg,0.96,
A2P-M,twin_large.svg,1.12,
L2T,twin_large.svg,0.96,
L2T-M,twin_large.svg,1.12,
A2T,twin_large.svg,0.96,
A2T-M,twin_large.svg,1.06,
L1J-L,jet_nonswept.svg,1,
L2J-L,jet_nonswept.svg,1,
L2J-M,airliner.svg,1,
L2J-H,heavy_2e.svg,0.96,
L3J-H,md11.svg,1,
L4T-M,c130.svg,1,
L4T-H,c130.svg,1.07,
L4T,c130.svg,0.96,
L4J-H,b707.svg,1,
L4J-M,b707.svg,0.8,
L4J,b707.svg,0.8,
